Kode Unit Kerja Pengendali,Kode Unit Kerja,Unit Kerja,Direktorat
A06,SPI,Satuan Pemeriksaan Internal,Direktorat Utama
A07,KRA,Komite Program Pengendalian Resistensi Anti Mikroba,Direktorat Utama
A08,KMD,Komite Medik,Direktorat Utama
A09,KTK,Komite Tenaga Kesehatan Lain,Direktorat Utama
A10,KMU,Komite Mutu,Direktorat Utama
A11,KFT,Komite Farmasi dan Terapi,Direktorat Utama
A12,PPI,Komite Pengendalian dan Pencegahan Infeksi,Direktorat Utama
A13,KMP,Komite Keperawatan,Direktorat Utama
A14,KEP,Komite Etik Penelitian dan Hukum,Direktorat Utama
A15,KKP,Komite Koordinasi Pendidikan Kedokteran,Direktorat Utama
A16,ULP,Unit Layanan Pengadaan,Direktorat Utama
A17,ILT,Instalasi Laboratorium Terpadu,Direktorat Medik dan Keperawatan
A18,MDK,Tim Kerja Pelayanan Medik,Direktorat Medik dan Keperawatan
A19,PWT,Tim Kerja Pelayanan Keperawatan,Direktorat Medik dan Keperawatan
A20,PPJ,Tim Kerja Pelayanan Penunjang,Direktorat Medik dan Keperawatan
A21,IRJ,Instalasi Rawat Jalan,Direktorat Medik dan Keperawatan
A22,IRI,Instalasi Rawat Inap,Direktorat Medik dan Keperawatan
A23,ICU,Instalasi Rawat Intensif,Direktorat Medik dan Keperawatan
A24,IBS,Instalasi Bedah Sentral,Direktorat Medik dan Keperawatan
A25,IGD,Instalasi Gawat Darurat,Direktorat Medik dan Keperawatan
A26,IDK,Instalasi Deteksi Dini dan PKRS,Direktorat Medik dan Keperawatan
A27,IRT,Instalasi Radioterapi,Direktorat Medik dan Keparawatan
A28,IRD,Instalasi Radiodiagnostik,Direktorat Medik dan Keparawatan
A29,IPD,Instalasi Prosedur Diagnostik,Direktorat Medik dan Keparawatan
A30,IFS,Instalasi Farmasi,Direktorat Medik dan Keparawatan
A31,IPE,Instalasi Pelayanan Eksekutif,Direktorat Medik dan Keparawatan
A32,ITS,Instalasi Terapi Sistemik,Direktorat Medik dan Keparawatan
A33,IRM,Instalasi Rehabilitasi Medik,Direktorat Medik dan Keparawatan
A34,IPL,Instalasi Paliatif,Direktorat Medik dan Keparawatan
A35,UTD,Unit Transfusi Darah Rumah Sakit,Direktorat Medik dan Keparawatan
A36,TRT,Tim Kerja Tata Usaha dan Rumah Tangga,Direktorat Layanan Operasional
A39,IGZ,Instalasi Gizi,Direktorat Medik dan Keparawatan
A40,IPS,Instalasi Pemeliharaan Sarana RS,Direktorat Layanan Operasional
A41,IKL,Instalasi Kesehatan Lingkungan dan K3,Direktorat Layanan Operasional
A42,ISB,Instalasi Sterilisasi Sentral dan Binatu,Direktorat Layanan Operasional
A43,HKM,Tim Kerja Hukormas,Direktorat Layanan Operasional
A44,ISR,Instalasi Sistem Informasi Manajemen RS,Direktorat Layanan Operasional
A45,IMR,Instalasi Rekam Medik,Direktorat Layanan Operasional
A46,DLT,Tim Kerja Pendidikan dan Penelitian,"Direktorat SDM, Pendidikan dan Penelitian"
A47,TLT,Clinical Research Unit,"Direktorat SDM, Pendidikan dan Penelitian"
A48,IDJ,Instalasi Pengendali Data Beban Kanker dan Jejaring Kanker Nasional,"Direktorat SDM, Pendidikan dan Penelitian"
A49,SDM,Tim Kerja Organisasi dan SDM,"Direktorat SDM, Pendidikan dan Penelitian"
A50,IPG,Instalasi Penelitian Pusat Inisiatif Sekuensing Genom dan Biomedis,"Direktorat SDM, Pendidikan dan Penelitian"
A51,PEP,Tim Kerja Perencanaan dan Evaluasi Program,Direktorat Perencanaan dan Pengembangan Strategi Layanan
A52,PSL,Tim Kerja Pengembangan Strategi Layanan,Direktorat Perencanaan dan Pengembangan Strategi Layanan
A53,IPU,Instalasi Pemasaran dan Pengembangan Usaha,Direktorat Perencanaan dan Pengembangan Strategi Layanan
A54,PAG,Tim Kerja Perencanaan Anggaran,Direktorat Perencanaan dan Pengembangan Strategi Layanan
A55,KEU,Tim Kerja Pelaksanaan Keuangan,Direktorat Keuangan dan BMN
A56,AKB,Tim Kerja Akuntansi dan BMN,Direktorat Keuangan dan BMN
A57,IPJ,Instalasi Pengendalian Pasien Jaminan,Direktorat Keuangan dan BMN
A58,IRS,Instalasi Rawat Sehari,Direktorat Medik dan Keparawatan