ulp_stage_preparation_id,RUP,e-Proc,Manual,Kode RUP,Metode Pemilihan,Kriteria Barang/Jasa,Lembar catatan Pengecekan HPS  (Tgl),Lembar catatan Pengecekan HPS  (PIC),Koreksi Aritmatika HPS (Tgl),Koreksi Aritmatika HPS (PIC),Lembar Persiapan Tgl,Lembar Persiapan PIC Buat,Lembar Persiapan PIC Ka. Pokja,Pengumuman Pemilihan by LPSE (Nomor Lembar Pengumuman),Pengumuman Pemilihan by LPSE (Tgl),Pengumuman Pemilihan by LPSE (PIC),Dokumen Pemilihan / SPPH Dokumen Pengadaan / SPPH(No. Dok),Dokumen Pemilihan / SPPH Dokumen Pengadaan / SPPH(Tgl),Dokumen Pemilihan / SPPH Dokumen Pengadaan / SPPH(PIC),Registrasi Draft Paket PBJ by SPSE (Buat Paket) Tgl,Registrasi Draft Paket PBJ by SPSE (Buat Paket) PIC,Undangan Reviu DPP(No. Dok),Undangan Reviu DPP(Tgl),Undangan Reviu DPP(PIC),Lembar Daftar Hadir Acara Reviu DPP (Tgl),Lembar Daftar Hadir Acara Reviu DPP (PIC),BA Reviu DPP (No. Dok),BA Reviu DPP (Tgl),BA Reviu DPP (PIC),Undangan Pemberian Penjelasan(No. Dok),Undangan Pemberian Penjelasan(Tgl),Undangan Pemberian Penjelasan(PIC),Lembar Daftar Hadir Pemberian Penjelasan(Tgl),Lembar Daftar Hadir Pemberian Penjelasan(PIC),BA Pemberian Penjelasan(No. Dok),BA Pemberian Penjelasan(Tgl),BA Pemberian Penjelasan(PIC),Dekripsi Data Penawaran(Tgl),Dekripsi Data Penawaran(PIC),BA Pembukaan Dokumen Penawaran(No. Dok),BA Pembukaan Dokumen Penawaran(Tgl),BA Pembukaan Dokumen Penawaran(PIC),Lembar Koreksi Aritmatika Penawaran Harga(Tgl),Lembar Koreksi Aritmatika Penawaran Harga(PIC ),Kertas Kerja Evaluasi Penawaran (Tgl),Kertas Kerja Evaluasi Penawaran (PIC),BA Evaluasi Penawaran (No. Dok),BA Evaluasi Penawaran (Tgl),BA Evaluasi Penawaran (PIC ),Undangan Verifikasi & Pembuktian Kualifikasi(No. Dok),Undangan Verifikasi & Pembuktian Kualifikasi(Tgl),Undangan Verifikasi & Pembuktian Kualifikasi(PIC ),Lembar Daftar Hadir Verifikasi & Pembuktian Kualifikasi(Tgl),Lembar Daftar Hadir Verifikasi & Pembuktian Kualifikasi(PIC ),Lembar Nego Teknis dan Harga (Jika Ada)(Tgl),Lembar Nego Teknis dan Harga (Jika Ada)(PIC ),BA Klarifikasi dan Negosiasi Harga(No. Dok),BA Klarifikasi dan Negosiasi Harga(Tgl),BA Klarifikasi dan Negosiasi Harga(PIC ),BA Hasil Pemilihan (No. Dok),BA Hasil Pemilihan (Tgl),BA Hasil Pemilihan (PIC ),Penetapan Pemenang Pemilihan  (No. Dok),Penetapan Pemenang Pemilihan  (Tgl),Penetapan Pemenang Pemilihan  (PIC ),Pengumuman Pemenang Pemilihan  (No. Dok),Pengumuman Pemenang Pemilihan  (Tgl),Pengumuman Pemenang Pemilihan  (PIC ),Sanggahan(No. Dok),Sanggahan(Tgl Sanggah),Sanggahan(Nama Peserta),Jawaban Sanggah (Jika Ada) (No. Dok),Jawaban Sanggah (Jika Ada) (Tgl Dok),Jawaban Sanggah (Jika Ada) (PIC),Surat Usulan Kaji Ulang Paket (No. Dok),Surat Usulan Kaji Ulang Paket (Tgl),Surat Usulan Kaji Ulang Paket (PIC),Laporan Hasil Pemilihan (No. Dok),Laporan Hasil Pemilihan (Tgl),Laporan Hasil Pemilihan (PIC ),Nilai Realisasi,Dokumen SPB/SPK/Kontrak(PIC ),Dokumen SPB/SPK/Kontrak(Nomor),Dokumen SPB/SPK/Kontrak(Tanggal),Nilai Kontrak(Rp.) (BLU),Nilai Kontrak(Rp.) (Non BLU),Jangka Waktu Pekerjaan,Jangka Waktu Pekerjaan Satuan,Nama Penyedia Barang/Jasa,Nama Pimpinan Perusahaan,Contact Person,Alamat Perusahaan,KBLI Penyedia
41,1,1,,65824381,E-Purchasing,Jasa Lainnya,,,,,,,,,,,,26-Feb-26,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/2308/2026,26-Feb-26,I,Rp869.000.000,,,,869.000.000,,300,Hr Kalender,PRASADHA PAMUNAH LIMBAH INDUSTRI,,,"JLN. JENDERAL SUDIRMAN KAV. 45-46, DS Karet Semanggi, Kec. Setiabudi, Jakarta Selatan, 12930",
42,1,1,,63370906,E-Pengadaan Langsung,Barang,,,,,,,,,,,BJ.01.03/D.XII.10/601/2026,14-Jan-26,Al,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/823/2026,21-Jan-26,Al,,,,20-Jan-26,Al,20-Jan-26,Al,,,,BJ.01.03/D.XII.10/824/2026,21-Jan-26,Al,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/868/2026,22-Jan-26,Al,"Rp166,500,000",,,,166.500.000,,365,Hr Kalender,PT. SINAR AMARTAPURA PERSADA,,,"Jl. Binalontar No. 32A Jaticempaka, Pondok Gede Kotamadya Bekasi 17411",
43,,,1,,Pengadaan Langsung,Jasa Lainnya,,,,,,,,,,,BJ.01.03/D.XII.10/1737/2026,13-Feb-26,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/2280/2026,25-Feb-26,P,,,,25-Jan-26,P,25-Jan-26,P,,,,BJ.01.03/D.XII.10/2281/2026,25-Feb-26,P,BJ.01.03/D.XII.10/2292/2026,26-Feb-26,P,,,,,,,,,,,,,BJ.01.03/D.XII.10/2293/2026,26-Feb-26,P,Rp86.025.000,,,,86.025.000,,365,Hr Kalender,PT. IDS Medical Systems Indonesia,,,"Gd. Wisma 76 Lt. 17 dan 22 Jl. Jenderal S. Parman Kav. 76 Kel. Slipi, Kec. Palmerah Jakarta Barat",
44,1,1,,65793610,E-Pengadaan Langsung,Jasa Lainnya,,,,,,,,,,,BJ.01.03/D.XII.10/2096/2026,23-Feb-26,Al,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/2856/2026,6-Mar-26,Al,,,,,,,,,,,BJ.01.03/D.XII.10/2857/2026,6-Mar-26,Al,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/2899/2026,9-Mar-26,Al,Rp72.344.250,,,,72.344.250,,365,Hr Kalender,PT. Dimensi Citra Semesta,"Agus Sudarwanto, S.KM",(031) 8481966,Ruko Panji Makmur Blok D-6 Jl. Raya Panjang Jiwo No. 46 - 48 Surabaya - Jawa Timur,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,1,,63301143,E-Purchasing,Barang,,,,,,,,,,,,19-Jan-26,Al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/696/2026,19-Jan-26,Al,"Rp84,476,617",,,,84.476.617,,14,Hr Kalender,TANRI MAJU MAPAN,,,"jalan kyai caringin blok A, Nomor 5.A. Lt.3 011/004, cideng, gambir, jakarta pusat",
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,1,,Pengadaan Langsung,Jasa Lainnya,,,,,,,,,,,BJ.01.03/D.XII.10/447/2026,9-Jan-26,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/603/2026,14-Jan-26,P,,,,,,12-Jan-26,P,,,,BJ.01.03/D.XII.10/604/2026,14-Jan-26,P,BJ.01.03/D.XII.10/605/2026,14-Jan-26,P,,,,,,,,,,,,,BJ.01.03/D.XII.10/606/2026,14-Jan-26,P,"Rp68,292,750",,,,68.292.750,,265,Hr Kalender,PT. Glomed Adinata Prima,,,"Jl. Gunung Sahari Raya No. 2 Blok E/23A, Kompleks Marinata Mangga Dua Jakarta 14420",
50,,,1,,Penunjukan Langsung,Jasa Lainnya,,,,,,,,,,,BJ.01.03/D.XII.10/448/2026,9-Jan-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/688/2026,15-Jan-26,I,,,,14-Jan-26,Y,14-Jan-26,Y,,,,BJ.01.03/D.XII.10/689/2026,15-Jan-26,I,BJ.01.03/D.XII.10/690/2026,15-Jan-26,I,,,,,,,,,,,,,BJ.01.03/D.XII.10/691/2026,15-Jan-26,I,Rp265.987.080,,,,265.987.080,,365,Hr Kalender,PT. INTERGASTRA nusantara,(021) 6493880,Kristanto Soetarso,"Jln. P. Jayakarta 24 / 34-35, Jakarta - 10730",
51,1,1,,63354810,E-Purchasing,Jasa Lainnya,,,,,,,,,,,,11-Feb-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/1764/2026,13-Feb-26,I,Rp438.514.527,,,,438.514.527,,11,Bulan, AGREE MULIA UTAMA,,,JL. MEKARSARI DALAM RT.002/07 KEL.MEKARSARI KEC. CIMANGGIS - DEPOK,
52,,,1,,Pengadaan Langsung,Jasa Lainnya,,,,,,,,,,,BJ.01.01/D.XII.10/446/2025,9-Jan-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/494/2026,12-Jan-26,I,,,,,,,,,,,BJ.01.03/D.XII.10/495/2026,12-Jan-26,I,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/496/2026,12-Jan-26,I,"Rp40,835,327",,,,40.835.327,,30,Hr Kalender,PT. Rentokil Indonesia,,,"Jl. RA. Kartini Kav. 8 Cilandak, Jakarat Selatan 12430",
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1,1,,62200323,E-Purchasing,Barang,,,,,,,,,,,,9-Jan-26,Ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/486/2026,12-Jan-26,Ar,"Rp84,999,993",,,,84.999.993,,14,Hr Kalender,INDIE DABELES INDONESIA,,,Jl. Karyawan III GG Soka VII No. 117 RT 002/07 Katang Timur Karang Tengah Tangerang,
56,1,1,,63476638,E-Purchasing,Barang,,,,,,,,,,,,12-Feb-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/1727/2026,12-Feb-26,I,Rp1.997.143.264,,,,1.997.143.264,,365,Hr Kalender,SAMATOR INDO GAS,,,"UGM Samator Pendidikan Building A, 5th and 6th Floor Jl. Dr. Sahardjo No.83, Manggarai Tebet. Jaksel",
57,1,1,,65614694,E-Penunjukan Langsung,Jasa Lainnya,,,,,,,,,,,BJ.01.03/D.XII.10/2277/2026,25-Feb-26,Y,,,,,,,,BJ.01.03/D.XII.10/2097/2026,23-Feb-26,Y,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/2788/2026,4-Mar-26,Y,,,,,,,,,,,BJ.01.03/D.XII.10/2789/2026,4-Mar-26,Y,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/2791/2026,4-Mar-26,I,Rp794.155.050,,,,794.155.050,,365,Hr Kalender,PT Multi Akses Jaya,,," Ruko Icon Business Park BSD BlokS No02
Jl Raya Cisauk, Sampora, Cisauk,
Tangerang Banten
 ",
58,,,1,,Pengadaan Langsung,Jasa Lainnya,,,,,,,,,,,BJ.01.03/D.XII.10/638/2026,15-Jan-26,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/779/2026,20-Jan-26,I,,,,19-Jan-26,I,19-Jan-26,I,,,,BJ.01.03/D.XII.10/780/2026,20-Jan-26,I,BJ.01.03/D.XII.10/781/2026,20-Jan-26,I,,,,,,,,,,,,,BJ.01.03/D.XII.10/782/2026,20-Jan-26,I,Rp72.509.701,,,,72.509.701,,365,Hr Kalender,PT. Saba Indomedika,,,"Jl. Panjang No. 7-9, Ruko Kedoya Elok Plaza Blok DB. 33 Jakarta 11520",
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,1,,64820394,E-Purchasing,Barang,,,,,,,,,,,,19-Feb-26,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/1936/2026,19-Feb-26,I,"Rp69,930,000",,,,69.930.000,,365,Hr Kalender,SENTRA ASIA GEMILANG,,,"Jl. Pantai Indah Barat, Komplek TOHO PIK Blok H No 25 & 27, Kamal Muara, Penjaringan, Jakarta 14470",
62,1,1,,65533234,E-Purchasing,Barang,,,,,,,,,,,,20-Feb-26,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/1965/2026,20-Feb-26,i,"Rp245,687,400",,,,245.687.400,,365,Hr Kalender,MANGKOK KENCANA SEJATI,,,"cipinang muara no 7a, 006/003, cipinang muara, jatinegara, jakarta timur",
63,,,1,,Pengadaan Langsung,Barang,,,,,,,,,,,BJ.01.03/D.XII.10/818/2026,20-Jan-26,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/975/2026,26-Jan-26,P,,,,,,26-Jan-26,P,,,,BJ.01.03/D.XII.10/976/2026,26-Jan-26,P,BJ.01.03/D.XII.10/987/2026,26-Jan-26,P,,,,,,,,,,,,,BJ.01.03/D.XII.10/988/2026,26-Jan-26,P,"Rp176,712,000",,,,176.712.000,,35,Hr Kalender,PT. Artha Delima,,,"Kp. Anggris No. 3A, Kel. Curug Sangerang - Kelapa Dua, Tangerang, Banten",
64,,,1,,Pengadaan Langsung,Jasa Lainnya,,,,,,,,,,,BJ.01.03/D.XII.10/607/2026,14-Jan-26,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/743/2026,19-Jan-26,I,,,,15-Jan-26,I,15-Jan-26,I,,,,BJ.01.03/D.XII.10/744/2026,19-Jan-26,I,BJ.01.03/D.XII.10/745/2026,19-Jan-26,I,,,,,,,,,,,,,BJ.01.03/D.XII.10/746/2026,19-Jan-26,I,Rp163.000.000,,,,163.000.000,,365,Hr Kalender,PT. Indotehnik Agung Perkasa,Ir Mahsun,(021)58902614,Jl. Raya Joglo No. 36 Kembangan – Jakarta Barat,
65,,,1,,Pengadaan Langsung,Jasa Lainnya,,,,,,,,,,,BJ.01.03/D.XII.10/607/2026,14-Jan-26,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/739/2026,19-Jan-26,I,,,,19-Jan-26,I,19-Jan-26,I,,,,BJ.01.03/D.XII.10/740/2026,19-Jan-26,I,BJ.01.03/D.XII.10/741/2026,19-Jan-26,I,,,,,,,,,,,,,BJ.01.03/D.XII.10/742/2026,19-Jan-26,I,"Rp92,352,000",,,,92.352.000,,365,Hr Kalender,PT Berca Schindler Lifts,,,Komplek Puri Indah Jl. Puri Lingkar Luar Blok P Rt/Rw. 00/00 Kel. Kembangan Selatan Kec. Kembangan Jakarta Barat,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,1,,63096057,E-Purchasing,Jasa Lainnya,,,,,,,,,,,,14-Jan-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/654/2026,15-Jan-26,I,"Rp1,046,748,894",,,,1.046.748.894,,365,Hr Kalender,EKSGON BROTHER,,,"Jalan Malaka Merah III B/15, RT.09/RW.010 Pondok Kopi, Duren Sawit, Jakarta Timur 13460",
71,1,1,,64483296,E-Purchasing,Jasa Lainnya,,,,,,,,,,,,30-Jan-26,Ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/1441/2026,3-Feb-26,Ar,"Rp643,139,550",,,,643.139.550,,365,Hr Kalender,GRATIA JAYA MULYA,,,"Gading Park View, Jl. Boulevard Timur Raya Blok ZC I No.10-11, Kelapa Gading - Jakarta Utara 14250",
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,1,,Pengadaan Langsung,Jasa Lainnya,,,,,,,,,,,BJ.01.03/D.XII.10/1472/2026,4-Feb-26,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/1671/2026,11-Feb-26,I,,,,10-Feb-26,I,10-Feb-26,I,,,,BJ.01.03/D.XII.10/1672/2026,11-Feb-26,I,BJ.01.03/D.XII.10/1673/2026,11-Feb-26,I,,,,,,,,,,,,,BJ.01.03/D.XII.10/1674/2026,11-Feb-26,I,"Rp44,430,000",,,,44.430.000,,365,Hr Kalender,Balai Besar Biomedis dan Genomika Kesehatan,,,"Jl. Percetakan Negara No. 23 B, Jakarta Pusat 10560",
74,,,1,,Pengadaan Langsung,Jasa Lainnya,,,,,,,,,,,BJ.01.03/D.XII.10/979/2026,27-Jan-26,Al,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/1013/2026,27-Jan-26,Al,,,,,,,,,,,BJ.01.03/D.XII.10/1013A/2026,27-Jan-26,Al,BJ.01.03/D.XII.10/1014/2026,27-Jan-26,Al,,,,,,,,,,,,,BJ.01.03/D.XII.10/1014A/2026,27-Jan-26,Al,Rp79.920.000,,,,79.920.000,,365,Hr Kalender,PT. Bahtera Wira Persada,Khuntari Ika Whardhani,81384739768,"AIA Central Lt.13, Jl. Jenderal Sudirman Kav. 48A, Karet Semanggi, Kecamatan Setaibudi, Jakarta Selatan",
75,,,1,,Pengadaan Langsung,Jasa Lainnya,,,,,,,,,,,BJ.01.03/D.XII.10/977/2026,26-Jan-26,Al,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/1009/2026,27-Jan-26,Al,,,,27-Jan-26,Al,27-Jan-26,Al,,,,BJ.01.03/D.XII.10/1010/2026,27-Jan-26,Al,BJ.01.03/D.XII.10/1011/2026,27-Jan-26,Al,,,,,,,,,,,,,BJ.01.03/D.XII.10/1011/2026,27-Jan-26,Al,Rp72.000.000,,,,72.000.000,,365,Hr Kalender,PT. Louserindo Megah Permai,,,Jl. Raya Kebayoran Lama No. 194 A Blok B IV dan V Jakarta Selatan,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1,1,,65618737,E-Purchasing,Barang,,,,,,,,,,,,17-Feb-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/1843/2026,18-Feb-26,I,Rp196.620.000,,,,196.620.000,,30,Hr Kalender, AMERTA SUKSES ABADI,,," Jl. Kayu Manis VIII No. 38 Matraman, Jakarta Timur",
78,1,1,,65618761,E-Purchasing,Barang,,,,,,,,,,,,17-Feb-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/1843/2026,18-Feb-26,I,"Rp326,400,000",,,,326.400.000,,30,Hr Kalender, AMERTA SUKSES ABADI,,," Jl. Kayu Manis VIII No. 38 Matraman, Jakarta Timur",
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1,1,,64674067,E-Purchasing,Barang,,,,,,,,,,,,30-Jan-26,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/1192/2026,30-Jan-26,I,Rp198.997.459,,,,198.997.459,,365,Hr Kalender,UNIBLESS INDO MULTI,,,"Ruko Grand Pasar Minggu Blok 88E, Jl. Rawa Bambu Raya No.88 Pasar Minggu, Jakarta Selatan",
81,,,1,,Pengadaan Langsung,Jasa Lainnya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/1008/2026,27-Jan-26,G,"Rp150,000,000",,,,150.000.000,,2,Hr Kerja,Dawera Taher,,,"Citra Gran Cibubur, Cluster TARN Blok 09/37, RT/RW 004/014, Kel. Jatikarya, Kec. Jati Sampurna",
82,1,1,,65566459,E-Pengadaan Langsung,Barang,,,,,,,,,,,BJ.01.03/D.XII.10/1873/2026,18-Feb-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/2136/2026,23-Feb-26,Y,,,,23-Feb-26,Y,23-Feb-26,Y,,,,BJ.01.03/D.XII.10/2137/2026,23-Feb-26,Y,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/2146/2026,24-Feb-26,I,"Rp148,120,591.41",,,,"148.120.591,41",,90,Hr Kalender,PT. BERCA NIAGA MEDIKA,,,"Gedung Berca Lt1, Jl Abdul Muis 62",
83,,,1,,Pengadaan Langsung,Barang,,,,,,,,,,,BJ.01.03/D.XII.10/1616/2026,12-Feb-26,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Feb-26,I,11-Feb-26,I,,,,,,,,,,,,,,,,,,,,,,,,,,I,1720,12-Feb-26,47.508.000,,90,Hr Kalender,PT. EKSGON BROTHER,,,"Ruko Malaka Country Blok B/15, Jl. Malaka Merah, Duren Sawit, Jakarta Timur 13260",
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,1,,Pengadaan Langsung,Barang,,,,,,,,,,,BJ.01.03/D.XII.10/1420/2026,2-Feb-26,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-Feb-26,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,1557,6-Feb-26,38.295.000,,30,Hr Kalender,PT. Caturkarya Gemaswadaya,PT. Caturkarya Gemaswadaya,,Jl. Kyai Caringin No. 16 A Jakarta Pusat,
87,,,1,,Pengadaan Langsung,Barang,,,,,,,,,,,BJ.01.03/D.XII.10/1609/2026,9-Feb-26,Ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-Feb-26,Ar,13-Feb-26,Ar,,,,,,,,,,,,,,,,,,,,,,,,,,Ar,1842,18-Feb-26,9.950.151,,30,Hr Kalender,PT. SINAR AMARTAPURA PERSADA,,,"Jl. Bina Lontar No. 32A, Jaticempaka, Pondok Gede, Bekasi 17411",
88,,,1,,Pengadaan Langsung,Barang,,,,,,,,,,,BJ.01.03/D.XII.10.1/1393/2026,30-Jan-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-Feb-26,Y,4-Feb-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,I,1473,4-Feb-26,60.416.606,,21,Hr Kalender,Koperasi Karyawan R.S. Kanker “Dharmais” (KOPKAR RSKD),,,"Jln. Let. Jen S. Parman Kav. 84-86 Slipi, Jakarta",
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,1,,Pengadaan Langsung,Jasa Lainnya,,,,,,,,,,,BJ.01.03/D.XII.10/1462/2026,4-Feb-26,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/1592/2026,6-Feb-26,I,,,,6-Feb-26,I,6-Feb-26,I,,,,BJ.01.03/D.XII.10/1593/2026,6-Feb-26,I,BJ.01.03/D.XII.10/1594/2026,6-Feb-26,I,,,,,,,,,,,,,BJ.01.03/D.XII.10/1595/2026,6-Feb-26,I,Rp189.988.211,,,,189.988.211,,330,Hr Kalender,CV. Grasia Raya Mandiri,Ir. Franklin M Sianipar,(021) 7301898,"Pondok Lakah Permai G/16, Ciledug 15153",
91,,,1,,Pengadaan Langsung,Barang,,,,,,,,,,,BJ.01.03/D.XII.10/1515/2026,5-Feb-26,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Feb-26,I,10-Feb-26,I,,,,,,,,,,,,,,,,,,,,,,,,,,I,1712,12-Feb-26,35.853.000,,21,Hr Kalender,PT. SINAR AMARTAPURA PERSADA,,,"Jl. Bina lontar No.32A Jaticempaka, Pondok Gede, Bekasi 17411",
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,1,,Pengadaan Langsung,Jasa Lainnya,,,,,,,,,,,BJ.01.03/D.XII.10/1461/2026,4-Feb-26,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/1596/2026,6-Feb-26,I,,,,6-Feb-26,I,6-Feb-26,I,,,,BJ.01.03/D.XII.10/1597/2026,6-Feb-26,I,BJ.01.03/D.XII.10/1598/2026,6-Feb-26,I,,,,,,,,,,,,,BJ.01.03/D.XII.10/1599/2026,6-Feb-26,I,Rp111.000.000,,,,111.000.000,,330,Hr Kalender,CV. Grasia Raya Mandiri,Ir. Franklin M Sianipar,(021) 7301898,"Pondok Lakah Permai G/16, Ciledug 15153",
