ulp_stage_preparation_id,RUP,e-Proc,Manual,Kode RUP,Metode Pemilihan,Kriteria Barang/Jasa,Lembar catatan Pengecekan HPS  (Tgl),Lembar catatan Pengecekan HPS  (PIC),Koreksi Aritmatika HPS (Tgl),Koreksi Aritmatika HPS (PIC),Lembar Persiapan Tgl,Lembar Persiapan PIC Buat,Lembar Persiapan PIC Ka. Pokja,Pengumuman Pemilihan by LPSE (Nomor Lembar Pengumuman),Pengumuman Pemilihan by LPSE (Tgl),Pengumuman Pemilihan by LPSE (PIC),Dokumen Pemilihan / SPPH Dokumen Pengadaan / SPPH(No. Dok),Dokumen Pemilihan / SPPH Dokumen Pengadaan / SPPH(Tgl),Dokumen Pemilihan / SPPH Dokumen Pengadaan / SPPH(PIC),Registrasi Draft Paket PBJ by SPSE (Buat Paket) Tgl,Registrasi Draft Paket PBJ by SPSE (Buat Paket) PIC,Undangan Reviu DPP(No. Dok),Undangan Reviu DPP(Tgl),Undangan Reviu DPP(PIC),Lembar Daftar Hadir Acara Reviu DPP (Tgl),Lembar Daftar Hadir Acara Reviu DPP (PIC),BA Reviu DPP (No. Dok),BA Reviu DPP (Tgl),BA Reviu DPP (PIC),Undangan Pemberian Penjelasan(No. Dok),Undangan Pemberian Penjelasan(Tgl),Undangan Pemberian Penjelasan(PIC),Lembar Daftar Hadir Pemberian Penjelasan(Tgl),Lembar Daftar Hadir Pemberian Penjelasan(PIC),BA Pemberian Penjelasan(No. Dok),BA Pemberian Penjelasan(Tgl),BA Pemberian Penjelasan(PIC),Dekripsi Data Penawaran(Tgl),Dekripsi Data Penawaran(PIC),BA Pembukaan Dokumen Penawaran(No. Dok),BA Pembukaan Dokumen Penawaran(Tgl),BA Pembukaan Dokumen Penawaran(PIC),Lembar Koreksi Aritmatika Penawaran Harga(Tgl),Lembar Koreksi Aritmatika Penawaran Harga(PIC ),Kertas Kerja Evaluasi Penawaran (Tgl),Kertas Kerja Evaluasi Penawaran (PIC),BA Evaluasi Penawaran (No. Dok),BA Evaluasi Penawaran (Tgl),BA Evaluasi Penawaran (PIC ),Undangan Verifikasi & Pembuktian Kualifikasi(No. Dok),Undangan Verifikasi & Pembuktian Kualifikasi(Tgl),Undangan Verifikasi & Pembuktian Kualifikasi(PIC ),Lembar Daftar Hadir Verifikasi & Pembuktian Kualifikasi(Tgl),Lembar Daftar Hadir Verifikasi & Pembuktian Kualifikasi(PIC ),Lembar Nego Teknis dan Harga (Jika Ada)(Tgl),Lembar Nego Teknis dan Harga (Jika Ada)(PIC ),BA Klarifikasi dan Negosiasi Harga(No. Dok),BA Klarifikasi dan Negosiasi Harga(Tgl),BA Klarifikasi dan Negosiasi Harga(PIC ),BA Hasil Pemilihan (No. Dok),BA Hasil Pemilihan (Tgl),BA Hasil Pemilihan (PIC ),Penetapan Pemenang Pemilihan  (No. Dok),Penetapan Pemenang Pemilihan  (Tgl),Penetapan Pemenang Pemilihan  (PIC ),Pengumuman Pemenang Pemilihan  (No. Dok),Pengumuman Pemenang Pemilihan  (Tgl),Pengumuman Pemenang Pemilihan  (PIC ),Sanggahan(No. Dok),Sanggahan(Tgl Sanggah),Sanggahan(Nama Peserta),Jawaban Sanggah (Jika Ada) (No. Dok),Jawaban Sanggah (Jika Ada) (Tgl Dok),Jawaban Sanggah (Jika Ada) (PIC),Surat Usulan Kaji Ulang Paket (No. Dok),Surat Usulan Kaji Ulang Paket (Tgl),Surat Usulan Kaji Ulang Paket (PIC),Laporan Hasil Pemilihan (No. Dok),Laporan Hasil Pemilihan (Tgl),Laporan Hasil Pemilihan (PIC ),Nilai Realisasi,Dokumen SPB/SPK/Kontrak(PIC ),Dokumen SPB/SPK/Kontrak(Nomor),Dokumen SPB/SPK/Kontrak(Tanggal),Nilai Kontrak(Rp.) (BLU),Nilai Kontrak(Rp.) (Non BLU),Jangka Waktu Pekerjaan,Jangka Waktu Pekerjaan Satuan,Nama Penyedia Barang/Jasa,Nama Pimpinan Perusahaan,Contact Person,Alamat Perusahaan,KBLI Penyedia
94,,,1,,Pengadaan Langsung,Barang,,,,,,,,,,,BJ.01.01/D.XII.10/1394/2026,30-Jan-26,Y,,,,,,,,,,,,,,,,BJ.01.01/D.XII.10/1460/2025,3-Feb-26,Y,,,,,,,,,,,,,,,,,,,,,,,BJ.01.01/D.XII.10/1548/2026,5-Feb-26,Y,BJ.01.01/D.XII.10/1558/2026,6-Feb-26,Y,,,,,,,,,,,,,BJ.01.03/D.XII.10/1591/2026,6-Feb-26,I,"Rp82,085,666",,,,82.085.666,,30,Hr Kalender,PT Caturkarya Gemaswadaya,,,Jl. Kyai Caringin No. 16 A  Jakarta,
95,1,1,,63376432,E-Purchasing,Barang,,,,,,,,,,,,13-Jan-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/593/2026,13-Jan-26,I,Rp1.506.060.088,,,,1.506.060.088,,365,Hr Kalender,"PT Enseval Putera Megatrading cabang JAKARTA-2, MERAPI UTAMA PHARMA, ANUGRAH ARGON MEDICA, BINA SAN PRIMA",,,,
96,,,1,,Penunjukan Langsung,Barang,,,,,,,,,,,"BJ.01.02/XII.D.10/12621/2025, BJ.01.02/XII.D.10/12620/2025",29-Jan-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/594/2026,13-Jan-26,I,,,,,,,,,,,BJ.01.03/D.XII.10/595/2026,13-Jan-26,I,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/596/2026,13-Jan-26,I,Rp1.248.514.112,,,,1.248.518.192,,365,Hr Kalender,"PT. Anugrah Pharmindo Lestari, PT. Enseval Putera Megatrading",,,,
97,1,1,,65074465,E-Pengadaan Langsung,Barang,,,,,,,,,,,BJ.01.03/D.XII.10/1474/2026,4-Feb-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/1656/2026,10-Feb-26,Y,,,,,,,,,,,BJ.01.03/D.XII.10/1657/2026,10-Feb-26,Y,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/1675/2026,11-Feb-26,I,"Rp68,806,125",,,,68.806.125,,30,Hr Kalender,"  PT. Sinar Amartapura
Persada  ",,,Jl Binalontar No 32A Jaticempaka Pondok Gede Kota Bekasi,
98,1,1,,65074355,E-Pengadaan Langsung,Barang,,,,,,,,,,,BJ.01.03/D.XII.10/1475/2026,4-Feb-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/1658/2026,10-Feb-26,Y,,,,,,,,,,,BJ.01.03/D.XII.10/1659/2026,10-Feb-26,Y,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/1676/2026,11-Feb-26,I,"Rp173,212,170",,,,173.212.170,,30,Hr Kalender,"  PT. Sinar Amartapura
Persada  ",,,Jl Binalontar No 32A Jaticempaka Pondok Gede Kota Bekasi,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,1,,Pengadaan Langsung,Barang,,,,,,,,,,,BJ.01.03/D.XII.10/3359/2026,26-Mar-26,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/3476/2026,31-Mar-26,I,,,,30-Mar-26,I,30-Mar-26,I,,,,BJ.01.03/D.XII.10/3477/2026,31-Mar-26,I,BJ.01.03/D.XII.10/3478/2026,31-Mar-26,I,,,,,,,,,,,,,BJ.01.03/D.XII.10/3479/2026,31-Mar-26,I,Rp88.800.000,,,,88.800.000,,365,Hr Kalender,PT. Artha Delima,,,"Kp. Anggris No.3A, Kel. Curug Sangerang - Kelapa Dua, Tangerang, Banten 15810",
101,,,1,,Pengadaan Langsung,Jasa Lainnya,,,,,,,,,,,BJ.01.03/D.XII.10/1834/2026,13-Feb-26,Al,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/1876/2026,18-Feb-26,Al,,,,,,,,,,,BJ.01.03/D.XII.10/1877/2026,18-Feb-26,Al,BJ.01.03/D.XII.10/1878/2026,18-Feb-26,Al,,,,,,,,,,,,,BJ.01.03/D.XII.10/1879/2026,18-Feb-26,Al,Rp71.417.500,,,,71.417.500,,365,Hr Kalender,PT. Macocentris Sakti,Benny Soegiharto,(021) 84590374,"Citra Gran Blok B7 No. 12 Jl. Alternatif Cibubur Km 4, Kota Bekasi",
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,1,,65783865,E-Tender,Jasa Lainnya,,,,,,,,,,,BJ.01.01/D.XII.10/2664/2026,3-Mar-26,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.01/D.XII.10/3340/2026,25-Mar-26,G,,,,,,,,,,,BJ.01.01/D.XII.10/3341/2026,25-Mar-26,G,,,,,,,,,,,,,,,,BJ.01.01/D.XII.10/3610/2026,31-Mar-26,G,"Rp33.439.637.702,70",,,,"33.439.637.702,70",,365,Hr Kalender,PT. Mega Primatama,,8111666264,"Jl. Prajurit KKO Usman dan Harun No. 30E, Senen, Jakarta Pusat",
106,1,1,,65783893,E-Tender,Jasa Lainnya,,,,,,,,,,,BJ.01.01/D.XII.10/2741/2026,3-Mar-26,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.01/D.XII.10/3314/2026,17-Mar-26,G,,,,,,,,,,,BJ.01.01/D.XII.10/3315/2026,17-Mar-26,G,,,,,,,,,,,,,,,,BJ.01.01/D.XII.10/3460/2026,30-Mar-26,G,Rp13.293.500.195,,,,13.293.500.195,,365,Hr Kalender,PT. Mega Primatama,,8111666264,"Jl. Prajurit KKO Usman dan Harun No. 30E, Senen, Jakarta Pusat",
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,1,,Pengadaan Langsung,Barang,,,,,,,,,,,BJ.01.03/D.XII.10/591/2026,13-Jan-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/1728/2026,12-Feb-26,I,,,,,,,,,,,BJ.01.03/D.XII.10/1729/2026,12-Feb-26,I,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/1730/2026,12-Feb-26,I,"Rp1,745,368",,,,1.745.368,,365,Hr Kalender,SAMATOR INDO GAS,,,"UGM Samator Pendidikan Building A, 5th and 6th Floor Jl. Dr. Sahardjo No.83, Manggarai Tebet. Jaksel",
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1,1,,65758043,E-Purchasing,Barang,,,,,,,,,,,,24-Feb-26,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/2164/2026,24-Feb-26,I,"Rp179,026,961",,,,179.026.961,,30,Hr Kalender,SEKAR BUNGA,,,"Komp PU Pengairan No. 100 Kel Koang Jaya , Karawaci Kota Tangerang",
114,,,1,,Pengadaan Langsung,Barang,,,,,,,,,,,BJ.01.03/D.XII.10/1875/2026,18-Feb-26,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/2259/2026,25-Feb-26,I,,,,20-Feb-26,Y,20-Feb-26,Y,,,,BJ.01.03/D.XII.10/2260/2026,25-Feb-26,I,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/2261/2026,25-Feb-26,I,"Rp134,537,485",,,,134.537.485,,25,Hr Kalender,Koperasi Karyawan R.S. Kanker “Dharmais” (KOPKAR RSKD),,,"Jln. Let. Jen S. Parman Kav. 84-86 Slipi, Jakarta",
115,1,1,,65947145,E-Purchasing,Barang,,,,,,,,,,,,27-Feb-26,Ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/2544/2026,2-Mar-26,Ar,Rp1.804.200.054,,,,1.804.200.054,,14,Hr Kalender,INFINITRADE TECHNOLOGY INDONESIA,,,"Menara 165 LT. 14 Unit E JL. TB Simatupang No. K Cilandak Timur Pasar Minggu, Jakarta Selatan 12560",
116,,,1,,Pengadaan Langsung,Barang,,,,,,,,,,,BJ.01.03/D.XII.10/2305/2026,26-Feb-26,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/2839/2026,5-Mar-26,P,,,,,,,,,,,BJ.01.03/D.XII.10/3840/2026,5-Mar-26,P,BJ.01.03/D.XII.10/2849/2026,6-Mar-26,,,,,,,,,,,,,,BJ.01.03/D.XII.10/2850/2026,6-Mar-26,P,Rp187.118.250,,,,187.118.250,,30,Hr Kalender,PT. Caturkarya Gemaswadaya,Budiyanto,(021) 63863233,Jl. Kyai Caringin No. 16 A Jakarta,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1,1,,65758102,E-Purchasing,Barang,,,,,,,,,,,,24-Feb-26,Al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/2262/2026,25-Feb-26,Al,153929250,,,,153.929.250,,30,Hr Kalender,SEKAR BUNGA,,,"Komp PU Pengairan No. 100 Kel. Koang Jaya, Karawaci Kota Tangerang 15112",
120,,,1,,Pengadaan Langsung,Barang,,,,,,,,,,,BJ.01.03/D.XII.10/2283/2026,25-Feb-26,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/2556/2026,2-Mar-26,I,,,,27-Feb-26,I,27-Feb-26,I,,,,BJ.01.03/D.XII.10/2557/2026,2-Mar-26,I,BJ.01.03/D.XII.10/2558/2026,2-Mar-26,I,,,,,,,,,,,,,BJ.01.03/D.XII.10/2559/2026,2-Mar-26,I,Rp124.200.000,,,,124.200.000,,90,Hr Kalender,PT. Oasis Waters Internasional,Armand Sebastian Gunawan,(021) 8755585,"Jl. K.H. Moh. Mansyur No. 38, Tanah Sareal Jakarta Barat 11210",
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1,1,,65758195,E-Purchasing,Barang,,,,,,,,,,,,25-Feb-26,Al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/2268/2026,25-Feb-26,Al,Rp83.956.253,,,,83.956.253,,20,Hr Kalender,TANRI MAJU MAPAN,,,"jalan kyai caringin blok A, Nomor 5.A. Lt.3 011/004, cideng, gambir, jakarta pusat",
124,,,1,,Tender,Jasa Lainnya,,,,,,,,,,,BJ.01.03/D.XII.10/12622/2025,29-Dec-26,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/12643/2025,31-Dec-25,G,,,,,,,,,,,,,,,,BJ.01.03/D.XII.10/12645/2025,31-Dec-25,G,Rp5.833.909.740,,,,5.833.909.740,,90,Hr Kalender,PT. Trans Dana Profitri,Baskoro Rianda,(021) 29483699,"Gd. Graha Slipi Tower Lt. 42, Unit G-H Kav. 22-24, Palmerah, Jakarta Barat",
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1,1,,66345542,E-Purchasing,Barang,,,,,,,,,,,,16-Mar-26,Ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/3258/2026,17-Mar-26,Ar,Rp113.400.000,,,,113.400.000,,14,Hr Kalender,INFINITRADE TECHNOLOGY INDONESIA,,,"Menara 165 LT. 14 Unit E JL. TB Simatupang No. K Cilandak Timur Pasar Minggu, Jakarta Selatan 12560",
128,1,1,,66350310,E-Purchasing,Barang,,,,,,,,,,,,17-Mar-26,Ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/3273/2026,17-Mar-26,Ar,Rp38.961.000,,,,38.961.000,,14,Hr Kalender,MAJA WASANA BAKTI,,,"KAMPUNG SAWAH, JATIMELATI, PONDOKMELATI, KOTA BEKASI, JABAR",
129,1,1,,66133575,E-Purchasing,Barang,,,,,,,,,,,,4-Mar-26,Ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/2755/2026,4-Mar-26,Ar,Rp337.840.000,,,,337.840.000,,14,Hr Kalender,INDOKOMTEK PERSADA INTEGRASI,,,"Gedung Artha Graha, 26 Floor (SCBD) Unit 2601, Jl. Jendral Sudirman No. 52-53 - Jakarta Selatan",
130,,,1,,Pengadaan Langsung,Barang,,,,,,,,,,,BJ.01.01/D.XII.10/2274/2026,25-Feb-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.01/D.XII.10/2483/2026,27-Feb-26,Y,BJ.01.01/D.XII.10/2484/2026,27-Feb-26,Y,,,,,,,,,,,,,BJ.01.03/D.XII.10/2505/2026,27-Feb-26,I,Rp187.785.776,,,,187.785.776,,30,Hr Kalender,PT. Caturkarya Gemaswadaya,Budiyanto,(021) 63863233,Jl. Kyai Caringin No. 16 A Jakarta,
131,1,1,,66345178,E-Purchasing,Barang,,,,,,,,,,,,12-Mar-26,Ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/3054/2026,12-Mar-26,Ar,Rp116.400.003,,,,116.400.003,,7,Hr Kalender,INFINITRADE TECHNOLOGY INDONESIA,,,"Menara 165 LT. 14 Unit E JL. TB Simatupang No. K Cilandak Timur Pasar Minggu, Jakarta Selatan 12560",
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1,1,,65947835,E-Purchasing,Barang,,,,,,,,,,,,27-Feb-26,Ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/2547/2026,2-Mar-26,Ar,Rp22.149.999,,,,22.149.999,,14,Hr Kalender,INDIE DABELES INDONESIA,,,Jl Karyawan III GG soka VII No.117 RT 002/07 Karang Timur Karang tengah Tangerang banten,
135,1,1,,65947293,E-Purchasing,Barang,,,,,,,,,,,,27-Feb-26,Ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/2545/2026,2-Mar-26,Ar,Rp793.799.968,,,,793.799.968,,14,Hr Kalender,INDIE DABELES INDONESIA,,,Jl Karyawan III GG soka VII No.117 RT 002/07 Karang Timur Karang tengah Tangerang banten,
136,1,1,,66173527,E-Purchasing,Barang,,,,,,,,,,,,5-Mar-26,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/2838/2026,5-Mar-26,I,Rp6.523.497,,,,6.523.497,,30,Hr Kalender,DWIRAMA JAYA DISTRIBUSINDO,,,"Perum Villa Dago Cluster Kintamani Blok G14/7 , RT004/024, Kel Benda Baru, Kec Pamulang",
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1,1,,66348315,E-Purchasing,Barang,,,,,,,,,,,,25-Mar-26,Ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/3375/2026,27-Mar-26,Ar,Rp58.275.000,,,,58.275.000,,,Hr Kalender,TAKTIS SOLUSI TEKNOLOGI,,,"Ruko De Mansion, Jl. Jalur Sutera Tim., Kunciran, Kec. Pinang, Kota Tangerang, Banten 15143",
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,1,,Pengadaan Langsung,Barang,,,,,,,,,,,BJ.01.03/D.XII.10/2859/2026,6-Mar-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Mar-26,Y,12-Mar-26,Y,,,,,,,,,,,,,,,,,,,,,,,,I,3344,26-Mar-26,40.071.000,,30,Hr Kalender,PT. SINAR AMARTAPURA PERSADA,,,"Jl. Binalontar No. 32A Jaticempaka, Pondok Gede Kotamadya Bekasi 17411",
149,,,1,,Pengadaan Langsung,Barang,,,,,,,,,,,BJ.01.03/D.XII.10/2554/2026,2-Mar-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-Mar-26,Y,4-Mar-26,Y,,,,,,,,,,,,,,,,,,,,,,,,I,3358,26-Mar-26,12.321.000,,30,Hr Kalender,CV. Prima Bangkit Gemilang,,,Jl. Bukit Duri Tanjakan Dalam XIV No. 43 Bukit Duri Tebet – Jakarta Selatan,
150,1,1,,66345178,E-Purchasing,Barang,,,,,,,,,,,,17-Mar-26,Ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BJ.01.04/D.XII.10/3376/2026,27-Mar-26,Ar,Rp48.599.998,,,,48.599.998,,7,Hr Kalender,INDIE DABELES INDONESIA,,,Jl. Karyawan III GG Soka VII No. 117 RT 002/07 Katang Timur Karang Tengah Tangerang,
151,,,1,,Pengadaan Langsung,Barang,,,,,,,,,,,BJ.01.03/D.XII.10/3361/2026,26-Mar-26,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31-Mar-26,Y,31-Mar-26,Y,,,,,,,,,,,,,,,,,,,,,,,,I,3683,2-Apr-26,61.417.688,,25,Hr Kalender,Koperasi Karyawan R.S. Kanker “Dharmais” (KOPKAR RSKD),,,"Jln. Let. Jen S. Parman Kav. 84-86 Slipi, Jakarta",
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,